Timestamp,Detected Label
2024-12-08 20:04:20,korean: 4.80
2024-12-08 20:04:20,brown: 4.60
2024-12-08 20:04:20,fang: 4.22
2024-12-08 20:04:20,native american: 4.18
2024-12-08 20:04:20,sewing macine: 4.17
2024-12-08 20:04:20,camera: 4.16
2024-12-08 20:04:20,can: 4.14
2024-12-08 20:04:20,bed: 4.09
2024-12-08 20:04:22,hair: 6.26
2024-12-08 20:04:22,asian: 6.25
2024-12-08 20:04:22,korean: 5.81
2024-12-08 20:04:22,brown: 5.63
2024-12-08 20:04:22,fang: 5.14
2024-12-08 20:04:22,native american: 5.10
2024-12-08 20:04:22,can: 5.05
2024-12-08 20:04:22,sewing macine: 5.04
2024-12-08 20:04:22,camera: 4.96
2024-12-08 20:04:22,photo: 4.93
2024-12-08 20:04:24,asian: 8.28
2024-12-08 20:04:24,hair: 8.22
2024-12-08 20:04:24,korean: 7.73
2024-12-08 20:04:24,brown: 7.44
2024-12-08 20:04:24,fang: 6.85
2024-12-08 20:04:24,native american: 6.70
2024-12-08 20:04:24,can: 6.67
2024-12-08 20:04:24,sewing macine: 6.61
2024-12-08 20:04:24,photo: 6.53
2024-12-08 20:04:24,camera: 6.49
2024-12-08 20:04:26,asian: 13.18
2024-12-08 20:04:26,hair: 12.94
2024-12-08 20:04:26,korean: 12.33
2024-12-08 20:04:26,brown: 11.76
2024-12-08 20:04:26,fang: 10.95
2024-12-08 20:04:26,can: 10.62
2024-12-08 20:04:26,native american: 10.58
2024-12-08 20:04:26,smile: 10.51
2024-12-08 20:04:26,sewing macine: 10.46
2024-12-08 20:04:26,photo: 10.37
2024-12-08 20:04:28,asian: 23.90
2024-12-08 20:04:28,hair: 23.53
2024-12-08 20:04:28,korean: 22.37
2024-12-08 20:04:28,brown: 21.39
2024-12-08 20:04:28,fang: 19.99
2024-12-08 20:04:28,smile: 19.42
2024-12-08 20:04:28,can: 19.30
2024-12-08 20:04:28,native american: 19.20
2024-12-08 20:04:28,sewing macine: 18.95
2024-12-08 20:04:28,photo: 18.85
2024-12-08 20:04:30,asian: 358.83
2024-12-08 20:04:30,hair: 348.28
2024-12-08 20:04:30,korean: 335.11
2024-12-08 20:04:30,brown: 320.87
2024-12-08 20:04:30,fang: 300.86
2024-12-08 20:04:30,native american: 291.34
2024-12-08 20:04:30,can: 290.21
2024-12-08 20:04:30,smile: 284.33
2024-12-08 20:04:30,sewing macine: 282.84
2024-12-08 20:04:30,photo: 282.76
2024-12-08 20:04:32,asian: 27.73
2024-12-08 20:04:32,hair: 26.51
2024-12-08 20:04:32,korean: 25.82
2024-12-08 20:04:32,brown: 24.74
2024-12-08 20:04:32,fang: 23.26
2024-12-08 20:04:32,native american: 22.62
2024-12-08 20:04:32,can: 22.39
2024-12-08 20:04:32,person many: 21.84
2024-12-08 20:04:32,photo: 21.77
2024-12-08 20:04:32,sewing macine: 21.68
2024-12-08 20:04:34,asian: 14.95
2024-12-08 20:04:34,hair: 14.28
2024-12-08 20:04:34,korean: 13.92
2024-12-08 20:04:34,brown: 13.43
2024-12-08 20:04:34,fang: 12.54
2024-12-08 20:04:34,native american: 12.38
2024-12-08 20:04:34,can: 12.06
2024-12-08 20:04:34,person many: 11.87
2024-12-08 20:04:34,sewing macine: 11.70
2024-12-08 20:04:34,photo: 11.69
2024-12-08 20:04:36,asian: 9.43
2024-12-08 20:04:36,hair: 9.07
2024-12-08 20:04:36,korean: 8.75
2024-12-08 20:04:36,brown: 8.60
2024-12-08 20:04:36,native american: 7.92
2024-12-08 20:04:36,fang: 7.92
2024-12-08 20:04:36,can: 7.59
2024-12-08 20:04:36,person many: 7.48
2024-12-08 20:04:36,angry: 7.44
2024-12-08 20:04:36,photo: 7.41
2024-12-08 20:04:38,asian: 6.99
2024-12-08 20:04:38,hair: 6.68
2024-12-08 20:04:38,korean: 6.44
2024-12-08 20:04:38,brown: 6.25
2024-12-08 20:04:38,native american: 5.83
2024-12-08 20:04:38,fang: 5.78
2024-12-08 20:04:38,can: 5.54
2024-12-08 20:04:38,person many: 5.50
2024-12-08 20:04:38,woman child: 5.46
2024-12-08 20:04:38,angry: 5.43
2024-12-08 20:04:40,asian: 5.54
2024-12-08 20:04:40,hair: 5.29
2024-12-08 20:04:40,korean: 5.09
2024-12-08 20:04:40,brown: 4.88
2024-12-08 20:04:40,native american: 4.58
2024-12-08 20:04:40,fang: 4.52
2024-12-08 20:04:40,can: 4.33
2024-12-08 20:04:40,person many: 4.32
2024-12-08 20:04:40,woman child: 4.27
2024-12-08 20:04:40,photo: 4.20
2024-12-08 20:04:42,asian: 4.59
2024-12-08 20:04:42,hair: 4.38
2024-12-08 20:04:42,korean: 4.24
2024-12-08 20:04:42,brown: 4.02
2024-12-08 20:04:42,fang: 3.77
2024-12-08 20:04:42,native american: 3.74
2024-12-08 20:04:42,can: 3.60
2024-12-08 20:04:42,person many: 3.57
2024-12-08 20:04:42,smile: 3.52
2024-12-08 20:04:42,woman child: 3.52
2024-12-08 20:04:44,asian: 3.85
2024-12-08 20:04:44,hair: 3.65
2024-12-08 20:04:44,korean: 3.56
2024-12-08 20:04:44,brown: 3.35
2024-12-08 20:04:44,fang: 3.18
2024-12-08 20:04:44,native american: 3.09
2024-12-08 20:04:44,can: 3.02
2024-12-08 20:04:44,smile: 3.00
2024-12-08 20:04:44,person many: 2.98
2024-12-08 20:04:44,sewing macine: 2.96
2024-12-08 20:04:46,asian: 3.29
2024-12-08 20:04:46,hair: 3.08
2024-12-08 20:04:46,korean: 3.05
2024-12-08 20:04:46,brown: 2.83
2024-12-08 20:04:46,fang: 2.74
2024-12-08 20:04:46,native american: 2.62
2024-12-08 20:04:46,smile: 2.61
2024-12-08 20:04:46,can: 2.60
2024-12-08 20:04:46,person many: 2.54
2024-12-08 20:04:46,sewing macine: 2.54
2024-12-08 20:04:48,asian: 2.92
2024-12-08 20:04:48,hair: 2.74
2024-12-08 20:04:48,korean: 2.72
2024-12-08 20:04:48,brown: 2.50
2024-12-08 20:04:48,fang: 2.43
2024-12-08 20:04:48,native american: 2.33
2024-12-08 20:04:48,smile: 2.32
2024-12-08 20:04:48,can: 2.30
2024-12-08 20:04:48,person many: 2.25
2024-12-08 20:04:48,sewing macine: 2.25
2024-12-08 20:04:50,asian: 2.69
2024-12-08 20:04:50,hair: 2.55
2024-12-08 20:04:50,korean: 2.49
2024-12-08 20:04:50,brown: 2.30
2024-12-08 20:04:50,fang: 2.21
2024-12-08 20:04:50,native american: 2.15
2024-12-08 20:04:50,can: 2.10
2024-12-08 20:04:50,smile: 2.07
2024-12-08 20:04:50,sewing macine: 2.06
2024-12-08 20:04:50,person many: 2.05
2024-12-08 20:04:52,asian: 2.32
2024-12-08 20:04:52,hair: 2.27
2024-12-08 20:04:52,korean: 2.18
2024-12-08 20:04:52,brown: 2.07
2024-12-08 20:04:52,fang: 1.98
2024-12-08 20:04:52,native american: 1.93
2024-12-08 20:04:52,can: 1.91
2024-12-08 20:04:52,smile: 1.87
2024-12-08 20:04:52,sewing macine: 1.86
2024-12-08 20:04:52,person many: 1.85
2024-12-08 20:04:54,asian: 2.16
2024-12-08 20:04:54,hair: 2.05
2024-12-08 20:04:54,korean: 2.01
2024-12-08 20:04:54,brown: 1.88
2024-12-08 20:04:54,fang: 1.84
2024-12-08 20:04:54,can: 1.78
2024-12-08 20:04:54,native american: 1.77
2024-12-08 20:04:54,person many: 1.73
2024-12-08 20:04:54,sewing macine: 1.71
2024-12-08 20:04:54,photo: 1.71
2024-12-08 20:04:56,asian: 2.05
2024-12-08 20:04:56,hair: 1.92
2024-12-08 20:04:56,korean: 1.89
2024-12-08 20:04:56,brown: 1.75
2024-12-08 20:04:56,fang: 1.73
2024-12-08 20:04:56,native american: 1.68
2024-12-08 20:04:56,can: 1.68
2024-12-08 20:04:56,person many: 1.64
2024-12-08 20:04:56,photo: 1.61
2024-12-08 20:04:56,sewing macine: 1.61
2024-12-08 20:04:58,asian: 1.96
2024-12-08 20:04:58,hair: 1.82
2024-12-08 20:04:58,korean: 1.81
2024-12-08 20:04:58,brown: 1.66
2024-12-08 20:04:58,fang: 1.65
2024-12-08 20:04:58,can: 1.62
2024-12-08 20:04:58,person many: 1.59
2024-12-08 20:04:58,native american: 1.58
2024-12-08 20:04:58,photo: 1.55
2024-12-08 20:04:58,camera: 1.53
2024-12-08 20:05:00,asian: 1.89
2024-12-08 20:05:00,korean: 1.74
2024-12-08 20:05:00,hair: 1.70
2024-12-08 20:05:00,fang: 1.59
2024-12-08 20:05:00,brown: 1.57
2024-12-08 20:05:00,can: 1.55
2024-12-08 20:05:00,person many: 1.53
2024-12-08 20:05:00,native american: 1.51
2024-12-08 20:05:00,camera: 1.48
2024-12-08 20:05:00,photo: 1.47
2024-12-08 20:05:02,asian: 1.85
2024-12-08 20:05:02,korean: 1.70
2024-12-08 20:05:02,hair: 1.68
2024-12-08 20:05:02,brown: 1.54
2024-12-08 20:05:02,fang: 1.54
2024-12-08 20:05:02,can: 1.50
2024-12-08 20:05:02,native american: 1.47
2024-12-08 20:05:02,person many: 1.47
2024-12-08 20:05:02,scissor: 1.43
2024-12-08 20:05:02,woman child: 1.43
2024-12-08 20:05:04,asian: 1.68
2024-12-08 20:05:04,hair: 1.58
2024-12-08 20:05:04,korean: 1.54
2024-12-08 20:05:04,brown: 1.45
2024-12-08 20:05:04,fang: 1.42
2024-12-08 20:05:04,scissor: 1.40
2024-12-08 20:05:04,can: 1.40
2024-12-08 20:05:04,finger: 1.40
2024-12-08 20:05:04,person many: 1.39
2024-12-08 20:05:04,native american: 1.39
2024-12-08 20:05:06,asian: 1.57
2024-12-08 20:05:06,hair: 1.51
2024-12-08 20:05:06,korean: 1.44
2024-12-08 20:05:06,finger: 1.43
2024-12-08 20:05:06,hand: 1.42
2024-12-08 20:05:06,brown: 1.39
2024-12-08 20:05:06,scissor: 1.38
2024-12-08 20:05:06,fang: 1.36
2024-12-08 20:05:06,person many: 1.35
2024-12-08 20:05:06,can: 1.35
2024-12-08 20:05:08,asian: 1.56
2024-12-08 20:05:08,hair: 1.51
2024-12-08 20:05:08,korean: 1.43
2024-12-08 20:05:08,brown: 1.38
2024-12-08 20:05:08,finger: 1.35
2024-12-08 20:05:08,scissor: 1.35
2024-12-08 20:05:08,hand: 1.34
2024-12-08 20:05:08,fang: 1.33
2024-12-08 20:05:08,person many: 1.32
2024-12-08 20:05:08,can: 1.31
2024-12-08 20:05:10,asian: 1.46
2024-12-08 20:05:10,hair: 1.41
2024-12-08 20:05:10,korean: 1.36
2024-12-08 20:05:10,finger: 1.34
2024-12-08 20:05:10,hand: 1.32
